Device Address,Address Type,RSSI,Description,Value
0e:56:56:3d:3b:c9,random,-78,Manufacturer,060001092002136dc28a7dffdea7e47ef0d300ba9372f7482bc0ffd159
40:f3:a7:63:c7:7f,random,-57,Flags,1a
40:f3:a7:63:c7:7f,random,-57,Tx Power,0b
40:f3:a7:63:c7:7f,random,-57,Manufacturer,4c001006351a39eb8c3c
7c:d9:f4:01:28:5a,public,-89,Flags,06
7c:d9:f4:01:28:5a,public,-89,Complete 16b Services,0000feaa-0000-1000-8000-00805f9b34fb
7c:d9:f4:01:28:5a,public,-89,Manufacturer,9a08018067
7c:d9:f4:01:28:5a,public,-89,16b Service Data,aafe00da187c7074868d55aac3261b1f313800550000
7c:d9:f4:01:28:5a,public,-89,Complete Local Name,IW354
7c:d9:f4:04:05:71,public,-80,Flags,06
7c:d9:f4:04:05:71,public,-80,Complete 16b Services,0000feaa-0000-1000-8000-00805f9b34fb
7c:d9:f4:04:05:71,public,-80,16b Service Data,aafe00da1a607facd68055aac50a2a57812b00550000
2a:a8:b6:0e:e0:49,random,-88,Manufacturer,060001092022a6106e740611f5c06ba31936135c7ead59d79f3438d3ee
44:05:8f:09:c4:95,random,-67,Flags,1a
44:05:8f:09:c4:95,random,-67,Tx Power,09
44:05:8f:09:c4:95,random,-67,Manufacturer,4c0010050998b5cc78
cc:6a:f4:0b:a6:e1,random,-81,Manufacturer,4c0012020003
43:19:bf:31:16:1b,random,-46,Flags,1a
43:19:bf:31:16:1b,random,-46,Tx Power,0c
43:19:bf:31:16:1b,random,-46,Manufacturer,4c001005461c9a199f
de:d0:e8:d0:f3:88,random,-61,Manufacturer,4c0012020003
fa:03:ad:08:44:59,random,-49,Manufacturer,4c0012020000
7c:d9:f4:01:e9:3f,public,-77,Flags,06
7c:d9:f4:01:e9:3f,public,-77,Complete 16b Services,0000feaa-0000-1000-8000-00805f9b34fb
7c:d9:f4:01:e9:3f,public,-77,16b Service Data,aafe00dadb9f7facd68055aa864a2a57812b00550000
78:c7:f0:fc:c1:6a,random,-59,Flags,1a
78:c7:f0:fc:c1:6a,random,-59,Tx Power,0c
78:c7:f0:fc:c1:6a,random,-59,Manufacturer,4c0010064f1dbff59c58
